tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
21.8,15.6,34.4,0.0,,304.0,5.8,,1011.9,
26.9,17.8,38.9,0.0,,312.0,4.3,,1008.0,
29.2,21.1,41.7,0.0,,320.0,7.9,,1008.7,
26.2,18.3,36.7,0.0,,307.0,8.6,,1013.2,
26.9,18.9,37.8,0.0,,311.0,6.8,,1008.2,
22.4,16.1,28.3,0.0,,295.0,10.8,,1002.0,
19.9,16.7,26.1,0.0,,312.0,10.4,,1010.8,
22.3,18.3,27.8,0.0,,296.0,9.4,,1016.4,
19.2,16.1,22.2,0.0,,285.0,12.6,,1014.7,
17.8,16.1,21.1,0.0,,264.0,18.4,,1013.5,
18.6,16.7,22.8,0.0,,281.0,14.0,,1014.5,
18.2,16.1,21.1,0.0,,280.0,14.8,,1016.6,
18.1,15.6,23.3,0.0,,237.0,13.7,,1015.4,
16.9,14.4,20.6,0.0,,238.0,14.8,,1009.9,
18.1,16.7,21.7,5.3,,154.0,22.3,,1004.8,
18.5,13.9,25.0,0.0,,324.0,10.8,,1010.1,
18.2,13.3,24.4,0.0,,343.0,10.1,,1013.1,
18.8,15.0,22.8,0.5,,320.0,8.3,,1015.8,
18.2,13.9,26.1,0.0,,320.0,10.4,,1017.5,
20.1,13.9,30.0,0.0,,352.0,9.7,,1014.9,
21.6,15.0,30.6,0.0,,334.0,9.4,,1016.1,
18.3,14.4,22.8,0.0,,321.0,10.8,,1017.1,
16.8,14.4,21.7,0.0,,305.0,12.6,,1015.5,
16.0,14.4,21.1,0.0,,292.0,11.2,,1016.2,
17.3,15.0,22.2,0.0,,260.0,9.4,,1017.6,
18.9,15.0,26.7,0.0,,274.0,7.9,,1016.4,
20.2,13.9,29.4,0.0,,335.0,9.7,,1011.0,
17.0,13.9,21.7,0.0,,308.0,10.1,,1011.5,
18.7,15.0,22.8,0.0,,284.0,13.0,,1015.2,
16.6,12.8,22.8,0.0,,316.0,11.9,,1017.5,
16.2,13.9,20.6,0.0,,295.0,10.1,,1016.9,
16.3,11.7,25.0,0.0,,333.0,7.2,,1016.4,
16.0,11.1,23.9,0.0,,324.0,7.2,,1017.4,
16.7,11.7,24.4,0.0,,308.0,6.8,,1018.4,
15.3,11.7,21.1,0.0,,308.0,8.6,,1018.0,
14.7,12.2,18.9,0.0,,312.0,9.7,,1018.0,
15.2,11.7,21.7,0.0,,290.0,9.0,,1015.9,
14.6,11.7,20.0,0.0,,314.0,9.0,,1015.8,
15.2,12.8,20.6,0.0,,311.0,9.4,,1019.2,
